學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,140101,教育學系,D 日,D 博士,13,5,10,7,10,7,8,5,9,5,3,4,1,6,0,0,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,M 碩士,6,14,4,12,1,4,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,B 學士,19,42,16,37,21,42,20,37,0,0,0,0,0,0,9,8,30 臺北市,1 一般
0001,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,0,3,0,2,1,0,0,4,0,0,0,2,0,1,0,0,30 臺北市,1 一般
0001,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,2,14,2,14,1,8,2,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140218,國文教學碩士在職專班,N 職,M 碩士,5,16,5,14,1,10,3,7,0,8,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,2,14,2,9,0,7,0,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,8,8,3,7,2,8,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,11,13,9,13,8,16,2,5,2,3,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220101,台灣文學研究所,D 日,D 博士,1,2,1,3,0,0,0,2,0,2,0,1,1,1,0,0,30 臺北市,1 一般
0001,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,4,7,1,9,3,8,1,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系,D 日,D 博士,8,5,2,12,5,6,5,4,3,8,4,2,3,4,0,0,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系,D 日,M 碩士,7,28,11,6,5,12,12,15,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系,D 日,B 學士,29,61,14,65,20,61,23,61,0,0,0,0,0,0,13,18,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,D 博士,0,6,2,0,2,2,4,4,2,2,2,1,0,1,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,M 碩士,5,10,2,10,4,12,4,10,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,B 學士,18,48,26,47,12,58,18,58,0,0,0,0,0,0,7,23,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,N 職,M 碩士,2,15,0,0,3,13,0,4,0,9,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,M 碩士,3,7,3,6,0,4,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,B 學士,7,30,7,38,9,28,10,29,0,0,0,0,0,0,7,19,30 臺北市,1 一般
0001,國立政治大學,220322,阿拉伯語文學系,D 日,B 學士,15,30,6,30,12,23,10,22,0,0,0,0,0,0,8,9,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,M 碩士,1,4,1,4,1,5,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,B 學士,6,28,3,29,4,31,11,28,0,0,0,0,0,0,4,22,30 臺北市,1 一般
0001,國立政治大學,220326,土耳其語文學系,D 日,B 學士,10,24,7,24,2,19,9,20,0,0,0,0,0,0,7,9,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系,D 日,B 學士,10,51,12,55,12,50,9,57,0,0,0,0,0,0,10,44,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系,N 職,M 碩士,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,M 碩士,2,1,2,1,0,4,0,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,B 學士,24,36,17,37,14,38,13,36,0,0,0,0,0,0,9,14,30 臺北市,1 一般
0001,國立政治大學,220701,語言學研究所,D 日,D 博士,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,30 臺北市,1 一般
