學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,117,52,65,9,12,13,10,4,12,7,12,5,8,9,7,5,4,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,27,9,18,1,7,4,9,2,2,2,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,213,75,138,21,32,19,26,17,32,12,37,-,-,-,-,-,-,6,11,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,49,17,32,6,10,5,10,5,8,1,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,79,29,50,9,16,8,10,4,15,4,6,4,3,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,47,3,44,1,12,2,16,-,11,-,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,29,16,13,3,3,4,1,4,2,-,1,-,2,3,1,2,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,25,11,14,2,2,3,5,4,5,2,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,28,17,11,2,1,2,1,2,1,1,2,5,1,1,2,4,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,63,45,18,9,5,13,3,12,5,11,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,167,91,76,24,24,25,13,17,14,17,18,-,-,-,-,-,-,8,7,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,20,11,9,2,1,2,1,-,1,1,-,3,2,2,1,1,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,49,32,17,6,5,10,5,9,3,7,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,19,9,10,1,1,1,2,-,-,4,1,1,2,-,1,2,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,28,14,14,4,3,2,4,4,3,4,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,174,72,102,18,23,12,27,14,21,19,18,-,-,-,-,-,-,9,13,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,25,16,9,3,2,1,1,3,2,3,-,1,-,3,2,2,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,44,35,9,9,4,14,-,7,3,5,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,179,99,80,30,23,20,18,25,12,16,17,-,-,-,-,-,-,8,10,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,21,10,11,5,-,1,1,1,5,1,1,-,3,1,1,1,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,57,16,41,6,16,3,15,3,2,4,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,291,81,210,18,45,16,41,14,53,23,45,-,-,-,-,-,-,10,26,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,38,6,32,1,18,1,-,3,7,1,1,-,6,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,21,7,14,2,7,3,2,1,4,1,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,178,51,127,7,25,10,30,10,26,18,30,-,-,-,-,-,-,6,16,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,171,63,108,16,27,11,23,13,23,13,24,-,-,-,-,-,-,10,11,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,17,-,17,-,6,-,5,-,4,-,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,138,18,120,5,28,6,25,5,26,2,33,-,-,-,-,-,-,-,8,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,120,23,97,6,26,2,25,6,16,6,20,-,-,-,-,-,-,3,10,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,264,46,218,10,50,6,45,10,50,12,43,-,-,-,-,-,-,8,30,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,15,6,9,1,4,3,1,1,2,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,214,52,162,13,40,8,33,13,32,11,34,-,-,-,-,-,-,7,23,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,92,27,65,11,27,6,13,2,11,7,11,-,-,-,-,-,-,1,3,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,12,4,8,-,1,-,-,1,-,1,1,-,1,1,3,1,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,45,21,24,5,9,4,6,5,5,7,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,56,33,23,4,6,2,2,4,3,3,2,6,5,8,1,6,4,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,83,36,47,11,12,7,11,9,13,9,11,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,338,93,245,14,65,27,48,13,64,30,47,-,-,-,-,-,-,9,21,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,10,65,5,13,-,14,1,14,3,15,1,9,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,19,2,17,-,2,1,2,-,4,1,3,-,3,-,1,-,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,57,10,47,3,15,3,10,3,12,1,10,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,10,5,5,1,1,-,1,1,-,1,-,-,2,-,-,2,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,31,10,21,3,7,4,5,3,3,-,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,11,9,2,2,-,2,-,1,-,-,-,2,1,1,-,1,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,97,65,32,29,10,20,17,11,4,5,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,395,221,174,47,31,50,37,61,45,47,46,-,-,-,-,-,-,16,15,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,29,12,17,4,8,5,5,1,4,2,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,27,20,7,3,1,2,-,2,2,1,2,2,1,6,-,4,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,73,48,25,12,5,12,7,13,9,11,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,225,99,126,16,33,25,28,21,25,23,31,-,-,-,-,-,-,14,9,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,65,44,21,17,11,15,6,5,3,5,1,1,-,1,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,D 博士,7,6,1,2,-,-,-,-,-,2,-,-,-,1,-,1,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,83,38,45,7,15,13,12,11,8,7,10,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,264,105,159,23,31,19,41,32,39,25,36,-,-,-,-,-,-,6,12,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,70,52,18,18,8,14,7,9,-,5,-,6,3,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,38,19,19,5,7,8,9,4,2,2,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,12,5,7,2,-,1,2,-,-,-,2,2,1,-,2,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,87,22,65,5,22,5,17,8,15,4,11,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,211,64,147,8,33,13,32,16,36,17,36,-,-,-,-,-,-,10,10,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,42,8,34,2,13,3,7,1,12,2,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,11,5,6,1,1,2,1,-,2,-,2,-,-,2,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,67,33,34,11,9,8,9,6,8,8,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,210,86,124,18,31,23,29,21,30,19,25,-,-,-,-,-,-,5,9,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,14,4,10,1,2,2,3,1,4,-,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,35,21,14,2,2,3,2,2,2,4,2,4,4,1,2,5,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,81,55,26,17,5,16,5,17,8,5,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,8,3,5,-,2,-,-,-,2,2,-,-,1,1,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,41,22,19,6,4,7,7,4,4,5,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,35,20,15,8,3,6,3,5,6,1,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,67,37,30,5,2,7,8,9,5,7,6,2,4,4,3,3,2,-,-,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,38,14,24,3,7,4,7,5,4,2,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,D 博士,19,12,7,1,1,3,-,2,2,1,1,2,-,3,1,-,2,-,-,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,M 碩士,73,30,43,13,17,12,22,3,4,1,-,1,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,B 學士,474,261,213,74,55,59,61,57,50,59,40,-,-,-,-,-,-,12,7,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,N 職,M 碩士,108,53,55,10,18,17,12,14,13,7,8,5,4,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,D 日,M 碩士,34,13,21,3,9,5,6,5,6,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,32,21,11,4,2,1,2,7,2,1,1,2,2,3,-,3,2,-,-,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,77,45,32,8,7,20,8,9,6,8,11,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,83,26,57,8,16,8,15,3,13,7,13,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,229,47,182,8,51,12,56,18,48,9,27,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,52,17,35,5,8,4,12,6,11,2,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院博士班,D 日,D 博士,38,19,19,2,4,3,3,7,3,2,5,4,2,1,-,-,2,-,-,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院大一大二不分系,D 日,B 學士,414,112,302,56,132,56,170,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,94,27,67,6,20,9,16,3,14,3,10,6,7,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03213052,廣播電視學系,D 日,B 學士,187,63,124,-,-,-,-,32,50,22,47,-,-,-,-,-,-,9,27,30 臺北市,1 一般
0001,國立政治大學,03214051,新聞學系,D 日,B 學士,109,31,78,-,-,-,-,11,24,13,40,-,-,-,-,-,-,7,14,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,16,4,12,1,2,-,2,-,-,2,2,1,1,-,2,-,3,-,-,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,57,17,40,7,18,7,17,3,2,-,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,56,15,41,4,19,8,15,3,5,-,1,-,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,D 博士,10,5,5,1,1,1,-,-,-,2,1,1,-,-,2,-,1,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,M 碩士,133,64,69,30,33,28,32,3,1,3,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,B 學士,420,179,241,38,56,47,51,41,60,43,68,-,-,-,-,-,-,10,6,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,D 博士,9,5,4,1,1,2,-,-,1,1,1,1,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,M 碩士,79,44,35,18,20,20,12,5,2,1,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,B 學士,205,82,123,16,31,23,25,22,31,14,29,-,-,-,-,-,-,7,7,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,D 博士,26,20,6,1,1,3,3,8,-,1,-,3,1,2,1,2,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,M 碩士,78,52,26,21,9,22,14,6,3,3,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,B 學士,266,138,128,29,26,36,24,29,38,38,31,-,-,-,-,-,-,6,9,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,D 博士,7,6,1,2,-,-,-,-,1,2,-,1,-,1,-,-,-,-,-,30 臺北市,1 一般
