學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,1044,聖約翰科技大學,4131005, 企業管理系,D 日,B 四技,10,4,6,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,01 新北市,2 技職
111,2,國立清華大學,7151134,AI智慧製造與工業物聯網產業碩士專班,D 日,M 碩士,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,2,國立清華大學,7151141,AI智慧製造與智慧物聯網產業碩士專班,D 日,M 碩士,6,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,1048,亞洲大學,4131055,EMBA高階經理碩士在職學位學程,N 職,M 碩士,11,9,2,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,06 臺中市,1 一般
111,52,國立屏東大學,1115073,STEM教育國際碩士學位學程,D 日,M 碩士,4,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,19,國立高雄大學,4199013,上海國際高階經營管理碩士在職專班,N 職,M 碩士,33,20,13,6,3,9,7,3,2,1,1,1,0,0,0,0,0,0,0,50 高雄市,1 一般
111,22,國立臺灣科技大學,99999036,不分系學士班,D 日,B 四技,53,44,9,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,22,國立臺灣科技大學,99999036,不分系學士班_不分系學士專班,D 日,B 四技,42,40,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1006,中國文化大學,99999071,不分系招生,P 進,B 學士,362,127,235,93,212,17,17,6,1,5,2,0,0,0,0,0,0,6,3,30 臺北市,1 一般
111,1057,德明財經科技大學,4199017,不動產投資與經營學位學程,D 日,B 四技,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,30 臺北市,2 技職
111,52,國立屏東大學,4199047,不動產經營學系,D 日,M 碩士,30,20,10,6,8,8,0,5,2,1,0,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,52,國立屏東大學,4199047,不動產經營學系,D 日,B 學士,238,85,153,30,32,15,38,13,41,23,38,0,0,0,0,0,0,4,4,13 屏東縣,1 一般
111,52,國立屏東大學,4199047,不動產經營學系,N 職,M 碩士,40,18,22,7,10,7,10,3,1,0,1,1,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,1080,宏國德霖科技大學,4199011,不動產經營系,N 修,B 四技,75,50,25,17,10,13,4,10,7,10,4,0,0,0,0,0,0,0,0,01 新北市,2 技職
111,1080,宏國德霖科技大學,4199011,不動產經營系,N 修,C 二技,124,51,73,0,0,0,0,27,41,21,32,0,0,0,0,0,0,3,0,01 新北市,2 技職
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,D 博士,22,12,10,0,2,1,3,2,2,5,0,1,1,2,1,1,1,0,0,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,M 碩士,51,25,26,9,13,10,9,5,3,1,1,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,B 學士,487,193,294,50,72,48,68,41,72,46,77,0,0,0,0,0,0,8,5,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,P 進,B 學士,172,90,82,27,28,24,25,15,18,17,7,0,0,0,0,0,0,7,4,01 新北市,1 一般
