"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01111,綜合教育細學類,人文社會學院教育經營碩士在職專班,N 職,M 碩士,63,18,45,6,17,3,11,2,11,3,4,1,1,3,1,0,0,0,0
111,01111,綜合教育細學類,人文社會學院教育經營碩士班,D 日,M 碩士,24,2,22,1,6,0,7,0,7,1,2,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,文教事業經營研究所,D 日,M 碩士,24,7,17,5,6,1,9,0,1,1,1,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,文教事業經營研究所,N 職,M 碩士,67,10,57,3,20,5,22,1,8,0,6,1,1,0,0,0,0,0,0
111,01111,綜合教育細學類,文教事業經營碩士在職學位學程,N 職,M 碩士,11,2,9,0,0,0,0,0,3,2,2,0,3,0,0,0,1,0,0
111,01111,綜合教育細學類,竹師教育學院學士班,D 日,B 學士,135,58,77,20,33,12,12,11,16,10,15,0,0,0,0,0,0,5,1
111,01111,綜合教育細學類,科學—科技—工程—數學整合教育國際博士學位學程,D 日,D 博士,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,師範學院教學專業國際碩士學位學程,D 日,M 碩士,7,3,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,國際文教管理人才博士學位學程,D 日,D 博士,4,1,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
111,01111,綜合教育細學類,國際文教與比較教育學系,D 日,D 博士,35,15,20,5,2,1,3,3,3,2,5,1,1,2,3,1,3,0,0
111,01111,綜合教育細學類,國際文教與比較教育學系,D 日,M 碩士,23,2,21,1,6,1,8,0,1,0,6,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,國際文教與比較教育學系,D 日,B 學士,182,25,157,5,30,5,39,7,35,6,41,0,0,0,0,0,0,2,12
111,01111,綜合教育細學類,教育心理與輔導學系,D 日,M 碩士,119,29,90,9,26,8,31,8,16,4,17,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育心理與輔導學系,D 日,B 學士,176,59,117,21,25,9,31,12,29,14,30,0,0,0,0,0,0,3,2
111,01111,綜合教育細學類,教育心理與輔導學系,N 職,M 碩士,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
111,01111,綜合教育細學類,教育心理與輔導學系社區諮商與教育碩士在職專班,N 職,M 碩士,86,14,72,6,18,4,17,0,16,1,6,3,15,0,0,0,0,0,0
111,01111,綜合教育細學類,教育研究所,D 日,D 博士,32,16,16,3,2,1,4,4,3,1,1,1,3,3,2,3,1,0,0
111,01111,綜合教育細學類,教育研究所,D 日,D 博士,31,14,17,3,2,2,2,2,2,2,1,0,3,0,2,5,5,0,0
