Unit,Post Date,Title
設備組,2023-11-10,本校112學年度第2學期教科書版本公告
人事室,2023-11-09,「第十六屆總統副總統及第十一屆立法委員選舉」反賄選宣導
註冊組,2023-11-08,[113升大學]113學年度臺灣大學特殊選才及希望入學校內推薦名單公告_112學年度高三生
註冊組,2023-11-08,[113升大學]113學年度成功高中繁星推薦作業實施計畫_適用112學年度高三生
生活輔導組,2023-11-01,本校教育儲蓄戶捐款連結
生活輔導組,2023-09-16,112學年第一學期重要請假規定提醒(根據11/13行政會報修正)
生活輔導組,2023-09-05,[轉知] 性平三法相關條文及修法重點
試務組,2023-08-30,公告本校112學年度第1學期晚自習教室8/30(三)起實行開放時間與地點。【11/18(六)、11/19(日)因施工校園不開放，故兩日高三教室皆不開放自習，請另覓自習場所。】
生活輔導組,2023-08-28,112學年度施行之學生獎懲規定重大修訂(112年6月30日校務會議修訂)
訓育組,2023-08-25,【開學】112學年度第1學期團體活動暨彈性學習時間行事曆（含班會、微課程、自主學習、社團時間）
註冊組,2023-08-08,[113升大學]升學資訊簡章專區(考試：英聽 學測 分科測驗 術科考試___招生：特殊選才 希望入學 繁星推薦 申請入學 分發入學)_持續更新
訓育組,2023-11-13,【畢業生】112學年度畢冊封面、畢典邀請函、畢業紀念徽章徵選計畫 (12月報名/2月截稿)
社團活動組,2023-11-13,轉知:「我們能為永續發展做什麼?」
社團活動組,2023-11-13,轉知:「113年第二 屆成大漢學研習營」
社團活動組,2023-11-13,轉知:「2023各級學校面山面海大會師活動」
人事室,2023-11-10,轉知為提升公務同仁對於新修正之性騷擾防治制度之瞭解，行 政院人事行政總處（以下簡稱人事總處）業於「e等公務 園+學習平臺」建置「性別平等教育法」、「性別平等工 作法」及「性騷擾防治法」（以下簡稱性平三法）修法重 點等3門數位學習課程，請查照並轉知所屬同仁踴躍選 讀。
人事室,2023-11-10,轉知臺北市立大學教育學系「113學年度碩士班暨博士班考試入 學」招生海報1份，敬請惠予張貼公告周知，並請鼓勵所 屬教師踴躍報考，請查照。
人事室,2023-11-10,轉知本市選舉委員會宣導第16任總統副總統及第11屆立法 委員選舉相關訊息，請查照。
人事室,2023-11-10,轉知國立彰化師範大學教育研究所113學年度碩士在職專班招生簡章入學資 訊，敬請惠予轉知所屬並鼓勵報名參加，請查照。
生活輔導組,2023-11-10,【轉知】「為近期校園新型態無卡分期契約詐騙案件肇生，請各校立即進行校內清查，如有疑似個案應及時通報，並提醒學生提高警覺，如遭遇類此情形，應向學校反映並盡快向警方報案」。
衛生組,2023-11-10,轉知環境部函送「溫室氣體減量及管理法施行細則」修正草案公告影本，如有意見或修正建議請於期限內逕向環境部陳述意見或洽詢，請查照。
人事室,2023-11-10,轉知國立政治大學「圖書資訊學數位碩士在職專班」113學年度招 生訊息。本班招生對象為中小學(含高級中學)教師、圖書 館從業人員或具文化教育行政及資訊服務相關工作經驗 者，敬請轉知所屬踴躍報考進修，請查照。
訓育組,2023-11-10,【轉知】「THE哆啦A夢展台北2023」與「奇幻動物森林樋口裕子展」
人事室,2023-11-09,轉知國立政治大學中國文學系「國文教學碩士在職專班」113學年 度招生簡章乙份，敬請協助公告並轉知所屬人員踴躍報考 進修。
社團活動組,2023-11-09,賀！本校301班黃予宏同學榮獲「2023全國台灣文學營創作獎」新詩組首獎！
生活輔導組,2023-11-09,【轉知】檢送教育部製作「不碰大麻煩」文宣海報1份，請瀏覽。
